,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
362,21076,03,09,21,23,30,32,06
363,21075,12,15,16,21,22,29,01
364,21074,04,05,09,14,25,27,07
365,21073,01,06,18,22,24,25,08
366,21072,01,09,15,16,19,21,15
367,21071,01,07,24,31,32,33,08
368,21070,01,05,11,15,16,29,15
369,21069,06,11,18,20,23,26,05
370,21068,04,14,18,24,31,32,15
371,21067,01,11,19,23,25,29,09
372,21066,02,06,19,26,30,33,15
373,21065,01,04,08,19,29,33,16
374,21064,04,06,08,15,16,18,16
375,21063,04,05,06,09,23,24,09
376,21062,12,13,15,20,22,25,10
377,21061,04,09,12,18,20,23,01
378,21060,10,11,17,20,29,30,15
379,21059,01,09,11,18,32,33,14
380,21058,09,11,13,18,19,28,14
381,21057,05,06,09,17,25,33,16
382,21056,08,21,22,23,29,32,01
383,21055,03,11,12,16,22,28,10
384,21054,07,13,21,22,24,31,02
385,21053,07,10,14,16,24,33,16
386,21052,03,04,06,19,21,30,14
387,21051,08,09,10,19,27,29,15
388,21050,02,09,10,16,25,28,08
389,21049,04,11,13,22,25,32,01
390,21048,04,15,17,22,29,32,03
391,21047,03,07,13,16,24,29,01
392,21046,05,09,13,21,28,33,06
393,21045,01,04,14,15,17,32,02
394,21044,05,07,14,17,26,28,13
395,21043,02,03,17,18,23,24,01
396,21042,05,09,10,22,25,27,08
397,21041,02,09,18,23,26,32,14
398,21040,02,06,07,24,28,29,16
399,21039,02,08,21,24,29,31,13
400,21038,05,07,09,16,18,27,06
401,21037,13,17,19,24,26,30,12
402,21036,01,02,06,11,21,26,11
403,21035,12,14,18,20,26,28,11
404,21034,04,10,12,18,23,25,01
405,21033,02,12,13,14,31,33,06
406,21032,01,05,08,15,16,30,03
407,21031,06,11,21,25,28,31,07
408,21030,08,09,13,27,29,31,05
409,21029,08,10,15,17,22,30,12
410,21028,11,16,23,26,27,33,05
411,21027,05,07,09,16,20,26,08
412,21026,03,05,13,19,20,25,03
413,21025,06,08,14,17,18,30,11
414,21024,01,04,06,10,11,18,02
415,21023,02,21,22,23,27,28,11
416,21022,10,15,17,25,31,32,06
417,21021,04,08,17,24,28,33,13
418,21020,01,03,06,07,09,11,02
419,21019,12,16,17,24,28,29,08
420,21018,02,08,14,23,25,32,06
421,21017,09,15,18,29,32,33,02
422,21016,03,08,09,13,15,18,10
423,21015,06,14,16,26,28,29,07
424,21014,04,15,21,25,29,33,06
425,21013,06,09,12,16,27,31,06
426,21012,03,06,14,18,20,26,01
427,21011,05,10,16,23,27,33,14
428,21010,01,04,11,19,32,33,05
429,21009,02,04,07,24,25,32,13
430,21008,01,05,07,14,18,33,07
431,21007,02,04,12,21,25,32,16
432,21006,06,08,22,24,25,26,01
433,21005,07,09,14,26,30,31,04
434,21004,02,03,07,08,17,22,15
435,21003,06,09,16,18,22,29,11
436,21002,06,10,13,25,26,32,11
437,21001,02,03,13,18,20,31,11
438,20134,02,09,10,20,22,26,01
439,20133,03,19,22,23,27,29,07
440,20132,01,04,11,12,14,23,04
441,20131,08,19,22,26,27,30,07
442,20130,08,09,11,14,17,29,16
